videoid,comments
7216883987246124334,having a manager under 30 i good bc you can have an actual conversation with them
7216883987246124334,"me, the shift leader, omw up to that register at 16 ready to gaslight customers and not let them get away with anything"
7216883987246124334,"im 18, fruity and a manager at my job, Had a lady request corporate on me yesterday :/"
7216883987246124334,Me when I was a manager for subway🤦‍♀️
7216883987246124334,“Let me speak to your manager” *Someone younger then them walks out* them: 😡😡😡
7216883987246124334,Why couldn’t I have had that at Starbucks or Dunkin 🥲 Just old hags who wanted to be corporate
7216883987246124334,That’s the best kind of supervisor
7216883987246124334,HAPPY BIRTHDAY NICKYYY
7216883987246124334,Im a manager at 18 and i don’t be letting these petty customers have they way😤
7216883987246124334,mangers under like 23 are the best bc they're not gonna give the customer what they want and they will talk back😭
7216883987246124334,Happy birthday manager!
7216883987246124334,happy bday🎂
7216883987246124334,Ahhh…I miss the Timmies crew
7216883987246124334,Happy birthday and w manager
7216883987246124334,HAPPY BIRTHDAY!
7216883987246124334,HAPPY BDAYY
7216883987246124334,I feel like I’ve seen this before
7216883987246124334,Annabeth chase duup 🤨
7216883987246124334,happy birthday supervisor
7216883987246124334,"Ngl, the fruity supervisor with attitude that's still in HS would be TERRIFYING 😂"
7224892347933347115,"""but using Adobe podcast"" 🤖"
7224892347933347115,"Ok, I’m getting Adobe podcast"
7224892347933347115,Keeping up w the speed of AI updates is exhausting
7224892347933347115,Going through the comments to find out what angles are
7224892347933347115,Bro just lost his job
7224892347933347115,Can you make the last photo faster please. It was staying there for ages I practically was begging for it to move.
7224892347933347115,"It would be good to explain what you mean by ""angles"""
7224892347933347115,Mind blowing
7224892347933347115,ur editor getting fired soon 😁
7224892347933347115,That last part was dirty. Lol I definitely am not gonna be able to pause on that pic 😂
7224892347933347115,"Does auto pod only work with Premiere Pro, or is it its own software?"
7224892347933347115,"Adobe podcast is beta for sure, I actually found it only really working with overlaying the previous audio aswell on lower gain"
7224892347933347115,"AI can have my identity, I’m broke af"
7224892347933347115,will take the place of a miter saw for cutting angles?
7224892347933347115,Are they free?
7224892347933347115,So many new ai softwares it never ends
7224892347933347115,"what photo , that was too quick"
7224892347933347115,Descript has the same feature as Adobe podcast under effects!
7224892347933347115,"Fun now, but very soon, the only jobs available will be those to train the AI to replace the available jobs.😳 like a hunger game"
7224892347933347115,Industry workers really need to pay attention to whats about to happen…
7225229921793133867,They have to look this way. New shiny white Air Force 1‘s have to be worn excessively before they‘re beautiful. 😀
7225229921793133867,Yes cause it’s forbidden to wear clean ones when drinking 😂 it gets messy
7225229921793133867,Bro they look like they go out of their way to make them dirty 😭
7225229921793133867,This is why I wear black buffaloes 😭
7225229921793133867,Only dirty shoes in the club don’t want the clean ones to get dirty 😭
7225229921793133867,😅😅😅
7225229921793133867,😭😭😭SORRY
7225229921793133867,Never wear clean ones to the club 😂 it gets dirty so fast the minute you go in it’s gone
7225229921793133867,Did u see the weather in Germany?
7225229921793133867,"You are so right
They be wearing them to 1% and saying they look fine"
7225229921793133867,😂😂😂😂Everybody has a pair..😂😂😂
7225229921793133867,It is definitely a pandemic here 😂😂😂😂
7225229921793133867,Somebody help us all 😂
7225229921793133867,"I’ve seen a girl at McDonalds in München with her AirForce destroyed, they had holes in them😑"
7225229921793133867,My shoes were all dirty when I was in Germany. I was putting them inside a washing machine once in a month. But I gave up after
7225229921793133867,@fiona omggg you were literally talking about this like last month 😭😭
7225229921793133867,yeah we doing activities.. that's what shoues ment for.
7225229921793133867,Girl Belgium too
7225229921793133867,@carmella.x1 I cant!!
7225229921793133867,UK folks looking at you like 😂
7224958819799928107,"The man skipped past surat lut in the Quran
End of times /"
7224958819799928107,Eid mubarak cousin🇸🇴🤍🇸🇳
7224958819799928107,This is pure love. Bro do you have black friends?
7224958819799928107,what about the Gambians😭
7224958819799928107,Bro what the my brain is not braining so nit halal mode
7224958819799928107,Eid Mubarak! Warms my heart to see you have such a loving family who cares about your culture and religion too.
